Timestamp,ID,Day,Description,Duration,DurationAsString,Segments
23/12/2021 12:13:49,D39iyp2dlm,20211223-12:07:36,Unknown (unable to detect activity),84599000,23:29:59,2
23/12/2021 12:13:49,D39iyp2dlm,20211223-12:07:36,Walking,1800000,00:30:00,1
23/12/2021 13:59:59,ydun27JYqN,20211223-14:00:02,Walking,1860000,00:31:00,4
23/12/2021 14:00:00,ydun27JYqN,20211223-14:00:02,Unknown (unable to detect activity),81779000,22:42:59,6
23/12/2021 14:00:00,ydun27JYqN,20211223-14:00:02,Other (unclassified fitness activity),2760000,00:46:00,2
23/12/2021 14:01:24,vCTkloMaa0,20211223-14:01:27,Unknown (unable to detect activity),73739000,20:28:59,16
23/12/2021 14:01:24,vCTkloMaa0,20211223-14:01:27,Other (unclassified fitness activity),6900000,01:55:00,4
23/12/2021 14:01:25,vCTkloMaa0,20211223-14:01:27,Walking,5760000,01:36:00,11
23/12/2021 14:06:41,D39iyp2dlm,20211223-14:00:29,Unknown (unable to detect activity),84599000,23:29:59,2
23/12/2021 14:06:41,D39iyp2dlm,20211223-14:00:29,Walking,1800000,00:30:00,1
23/12/2021 14:55:48,WPooa9cRhe,20211223-14:55:44,Unknown (unable to detect activity),78785036,21:53:05,15
23/12/2021 14:55:48,WPooa9cRhe,20211223-14:55:44,Walking,4063135,01:07:43,11
23/12/2021 14:55:49,WPooa9cRhe,20211223-14:55:44,Other (unclassified fitness activity),2100000,00:35:00,2
23/12/2021 14:55:49,WPooa9cRhe,20211223-14:55:44,In vehicle,1450829,00:24:10,1
24/12/2021 14:00:01,ydun27JYqN,20211224-14:00:04,Unknown (unable to detect activity),83039000,23:03:59,6
24/12/2021 14:00:01,ydun27JYqN,20211224-14:00:04,Other (unclassified fitness activity),1800000,00:30:00,2
24/12/2021 14:00:02,ydun27JYqN,20211224-14:00:04,Walking,1560000,00:26:00,3
24/12/2021 14:00:32,4KIVcPBHLi,20211224-14:00:29,Unknown (unable to detect activity),86399000,23:59:59,1
24/12/2021 14:01:13,XoyogQMtou,20211224-14:01:10,Unknown (unable to detect activity),85513874,23:45:13,3
24/12/2021 14:01:13,XoyogQMtou,20211224-14:01:10,Other (unclassified fitness activity),837000,00:13:57,1
24/12/2021 14:01:14,XoyogQMtou,20211224-14:01:10,Walking,48125,00:00:48,2
24/12/2021 14:09:31,WPooa9cRhe,20211224-14:09:29,Unknown (unable to detect activity),72045893,20:00:45,19
24/12/2021 14:09:32,WPooa9cRhe,20211224-14:09:29,Walking,4209154,01:10:09,20
24/12/2021 14:09:32,WPooa9cRhe,20211224-14:09:29,Other (unclassified fitness activity),4500000,01:15:00,4
24/12/2021 14:09:32,WPooa9cRhe,20211224-14:09:29,In vehicle,5643939,01:34:03,5
24/12/2021 14:12:03,WjTSJGdBQj,20211224-14:11:57,Unknown (unable to detect activity),86399000,23:59:59,1
24/12/2021 14:55:03,D39iyp2dlm,20211224-14:48:50,Unknown (unable to detect activity),86399000,23:59:59,1
25/12/2021 14:00:00,ydun27JYqN,20211225-14:00:03,Unknown (unable to detect activity),77279000,21:27:59,11
25/12/2021 14:00:01,ydun27JYqN,20211225-14:00:03,Other (unclassified fitness activity),6600000,01:50:00,6
25/12/2021 14:00:01,ydun27JYqN,20211225-14:00:03,Walking,2520000,00:42:00,4
25/12/2021 14:00:10,4KIVcPBHLi,20211225-14:00:08,Unknown (unable to detect activity),86399000,23:59:59,1
25/12/2021 14:00:15,WPooa9cRhe,20211225-14:00:13,Unknown (unable to detect activity),69136833,19:12:16,17
25/12/2021 14:00:15,WPooa9cRhe,20211225-14:00:13,Walking,4290043,01:11:30,16
25/12/2021 14:00:15,WPooa9cRhe,20211225-14:00:13,In vehicle,8652124,02:24:12,9
25/12/2021 14:00:16,WPooa9cRhe,20211225-14:00:13,Other (unclassified fitness activity),4320000,01:12:00,4
25/12/2021 14:06:27,vCTkloMaa0,20211225-14:06:30,Other (unclassified fitness activity),12540000,03:29:00,9
25/12/2021 14:06:28,vCTkloMaa0,20211225-14:06:30,Unknown (unable to detect activity),67619000,18:46:59,20
25/12/2021 14:06:28,vCTkloMaa0,20211225-14:06:30,Walking,6240000,01:44:00,11
25/12/2021 14:07:16,D39iyp2dlm,20211225-14:00:01,Unknown (unable to detect activity),86399000,23:59:59,1
25/12/2021 14:14:01,XoyogQMtou,20211225-14:12:55,Unknown (unable to detect activity),78952517,21:55:52,9
25/12/2021 14:14:02,XoyogQMtou,20211225-14:12:55,Other (unclassified fitness activity),934000,00:15:34,1
25/12/2021 14:14:02,XoyogQMtou,20211225-14:12:55,Walking,660000,00:11:00,1
25/12/2021 14:14:03,XoyogQMtou,20211225-14:12:55,Running,1002632,00:16:42,2
25/12/2021 14:14:03,XoyogQMtou,20211225-14:12:55,In vehicle,4849851,01:20:49,5
26/12/2021 14:00:14,4KIVcPBHLi,20211226-14:00:12,Unknown (unable to detect activity),86399000,23:59:59,1
26/12/2021 14:01:18,WPooa9cRhe,20211226-14:01:16,Unknown (unable to detect activity),81079892,22:31:19,15
26/12/2021 14:01:18,WPooa9cRhe,20211226-14:01:16,Walking,2011743,00:33:31,11
26/12/2021 14:01:19,WPooa9cRhe,20211226-14:01:16,Other (unclassified fitness activity),1980000,00:33:00,2
26/12/2021 14:01:19,WPooa9cRhe,20211226-14:01:16,In vehicle,1327365,00:22:07,1
26/12/2021 14:01:59,ydun27JYqN,20211226-14:02:03,Unknown (unable to detect activity),79679000,22:07:59,13
26/12/2021 14:01:59,ydun27JYqN,20211226-14:02:03,Walking,3420000,00:57:00,9
26/12/2021 14:02:00,ydun27JYqN,20211226-14:02:03,Other (unclassified fitness activity),3300000,00:55:00,3
26/12/2021 14:10:52,vCTkloMaa0,20211226-14:10:54,Other (unclassified fitness activity),7380000,02:03:00,7
26/12/2021 14:10:52,vCTkloMaa0,20211226-14:10:54,Unknown (unable to detect activity),77759000,21:35:59,10
26/12/2021 14:10:52,vCTkloMaa0,20211226-14:10:54,Walking,1260000,00:21:00,3
26/12/2021 15:41:31,XoyogQMtou,20211226-15:40:23,Unknown (unable to detect activity),85641424,23:47:21,3
26/12/2021 15:41:31,XoyogQMtou,20211226-15:40:23,Running,600000,00:10:00,1
26/12/2021 15:41:32,XoyogQMtou,20211226-15:40:23,Walking,157576,00:02:37,1
27/12/2021 14:00:04,ydun27JYqN,20211227-14:00:07,Unknown (unable to detect activity),82679000,22:57:59,8
27/12/2021 14:00:04,ydun27JYqN,20211227-14:00:07,Walking,2760000,00:46:00,6
27/12/2021 14:00:04,ydun27JYqN,20211227-14:00:07,Other (unclassified fitness activity),960000,00:16:00,1
27/12/2021 14:00:07,WPooa9cRhe,20211227-14:00:05,Unknown (unable to detect activity),78945975,21:55:45,10
27/12/2021 14:00:07,WPooa9cRhe,20211227-14:00:05,Walking,3094547,00:51:34,8
27/12/2021 14:00:07,WPooa9cRhe,20211227-14:00:05,Other (unclassified fitness activity),3300000,00:55:00,2
27/12/2021 14:00:07,WPooa9cRhe,20211227-14:00:05,In vehicle,1058477,00:17:38,1
27/12/2021 14:00:22,vCTkloMaa0,20211227-14:00:25,Unknown (unable to detect activity),73319000,20:21:59,17
27/12/2021 14:00:22,vCTkloMaa0,20211227-14:00:25,Other (unclassified fitness activity),8280000,02:18:00,7
27/12/2021 14:00:22,vCTkloMaa0,20211227-14:00:25,Walking,4800000,01:20:00,9
27/12/2021 14:09:44,4KIVcPBHLi,20211227-14:09:42,Unknown (unable to detect activity),86399000,23:59:59,1
27/12/2021 14:13:03,WjTSJGdBQj,20211227-14:13:01,Unknown (unable to detect activity),85919000,23:51:59,2
27/12/2021 14:13:04,WjTSJGdBQj,20211227-14:13:01,Walking,480000,00:08:00,1
27/12/2021 14:14:27,XoyogQMtou,20211227-14:14:24,Unknown (unable to detect activity),85417929,23:43:37,2
27/12/2021 14:14:27,XoyogQMtou,20211227-14:14:24,Walking,981070,00:16:21,2
27/12/2021 16:24:01,moto-g,20211227-16:23:57,Unknown (unable to detect activity),86399000,23:59:59,1
28/12/2021 14:00:26,4KIVcPBHLi,20211228-14:00:24,Unknown (unable to detect activity),86399000,23:59:59,1
28/12/2021 14:01:55,WjTSJGdBQj,20211228-14:01:53,Unknown (unable to detect activity),83819000,23:16:59,6
28/12/2021 14:01:55,WjTSJGdBQj,20211228-14:01:53,Walking,1740000,00:29:00,4
28/12/2021 14:01:56,WjTSJGdBQj,20211228-14:01:53,Other (unclassified fitness activity),840000,00:14:00,1
28/12/2021 14:02:15,ydun27JYqN,20211228-14:02:18,Unknown (unable to detect activity),76859000,21:20:59,12
28/12/2021 14:02:15,ydun27JYqN,20211228-14:02:18,Other (unclassified fitness activity),4620000,01:17:00,4
28/12/2021 14:02:16,ydun27JYqN,20211228-14:02:18,Walking,4920000,01:22:00,7
28/12/2021 14:04:59,WPooa9cRhe,20211228-14:04:57,Unknown (unable to detect activity),80785524,22:26:25,10
28/12/2021 14:04:59,WPooa9cRhe,20211228-14:04:57,Walking,3513474,00:58:33,9
28/12/2021 14:05:00,WPooa9cRhe,20211228-14:04:57,Other (unclassified fitness activity),2100000,00:35:00,2
28/12/2021 14:26:27,XoyogQMtou,20211228-14:26:23,Unknown (unable to detect activity),84426154,23:27:06,3
28/12/2021 14:26:27,XoyogQMtou,20211228-14:26:23,In vehicle,1972846,00:32:52,2
28/12/2021 14:32:26,IzZzhqcNgb,20211228-14:32:23,Unknown (unable to detect activity),86399000,23:59:59,1
28/12/2021 15:18:14,moto-g,20211228-15:18:10,Unknown (unable to detect activity),86399000,23:59:59,1
29/12/2021 09:42:57,XoyogQMtou,20211228-11:59:59,Unknown (unable to detect activity),81171154,22:32:51,6
29/12/2021 09:42:58,XoyogQMtou,20211228-11:59:59,In vehicle,1972846,00:32:52,2
29/12/2021 09:42:58,XoyogQMtou,20211228-11:59:59,Walking,3255000,00:54:15,3
29/12/2021 11:42:20,ydun27JYqN,20211229-11:42:23,Unknown (unable to detect activity),80939000,22:28:59,8
29/12/2021 11:42:20,ydun27JYqN,20211229-11:42:23,Walking,3720000,01:02:00,6
29/12/2021 11:42:20,ydun27JYqN,20211229-11:42:23,Other (unclassified fitness activity),1740000,00:29:00,1
29/12/2021 11:48:12,ydun27JYqN,20211229-11:48:10,Unknown (unable to detect activity),80939000,22:28:59,8
29/12/2021 11:48:12,ydun27JYqN,20211229-11:48:10,Walking,3720000,01:02:00,6
29/12/2021 11:48:12,ydun27JYqN,20211229-11:48:10,Other (unclassified fitness activity),1740000,00:29:00,1
29/12/2021 11:51:40,ydun27JYqN,20211229-11:51:44,Unknown (unable to detect activity),80939000,22:28:59,8
29/12/2021 11:51:40,ydun27JYqN,20211229-11:51:44,Walking,3720000,01:02:00,6
29/12/2021 11:51:41,ydun27JYqN,20211229-11:51:44,Other (unclassified fitness activity),1740000,00:29:00,1
29/12/2021 12:03:55,ydun27JYqN,20211229-12:03:59,Unknown (unable to detect activity),80939000,22:28:59,8
29/12/2021 12:03:56,ydun27JYqN,20211229-12:03:59,Walking,3720000,01:02:00,6
29/12/2021 12:03:56,ydun27JYqN,20211229-12:03:59,Other (unclassified fitness activity),1740000,00:29:00,1
29/12/2021 14:00:08,IzZzhqcNgb,20211229-14:00:06,Unknown (unable to detect activity),86399000,23:59:59,1
29/12/2021 14:05:02,XoyogQMtou,20211229-14:04:55,Unknown (unable to detect activity),82324201,22:52:04,6
29/12/2021 14:05:03,XoyogQMtou,20211229-14:04:55,Walking,4074799,01:07:54,5
29/12/2021 14:08:03,vCTkloMaa0,20211229-14:05:37,Unknown (unable to detect activity),78659000,21:50:59,14
29/12/2021 14:08:03,vCTkloMaa0,20211229-14:05:37,Walking,4980000,01:23:00,10
29/12/2021 14:08:03,vCTkloMaa0,20211229-14:05:37,Other (unclassified fitness activity),2760000,00:46:00,3
29/12/2021 14:19:36,WjTSJGdBQj,20211229-14:19:32,Unknown (unable to detect activity),84959000,23:35:59,3
29/12/2021 14:19:36,WjTSJGdBQj,20211229-14:19:32,Walking,240000,00:04:00,1
29/12/2021 14:19:37,WjTSJGdBQj,20211229-14:19:32,Other (unclassified fitness activity),1200000,00:20:00,1
29/12/2021 15:08:04,WjTSJGdBQj,20211229-15:08:02,Unknown (unable to detect activity),84959000,23:35:59,3
29/12/2021 15:08:04,WjTSJGdBQj,20211229-15:08:02,Walking,240000,00:04:00,1
29/12/2021 15:08:05,WjTSJGdBQj,20211229-15:08:02,Other (unclassified fitness activity),1200000,00:20:00,1
29/12/2021 16:09:08,WPooa9cRhe,20211229-16:09:05,Unknown (unable to detect activity),68708073,19:05:08,17
29/12/2021 16:09:08,WPooa9cRhe,20211229-16:09:05,Walking,7004175,01:56:44,14
29/12/2021 16:09:08,WPooa9cRhe,20211229-16:09:05,In vehicle,8766752,02:26:06,4
29/12/2021 16:09:08,WPooa9cRhe,20211229-16:09:05,Other (unclassified fitness activity),1920000,00:32:00,2
30/12/2021 14:00:27,XoyogQMtou,20211230-14:00:24,Unknown (unable to detect activity),84981174,23:36:21,3
30/12/2021 14:00:27,XoyogQMtou,20211230-14:00:24,Other (unclassified fitness activity),876000,00:14:36,1
30/12/2021 14:00:28,XoyogQMtou,20211230-14:00:24,In vehicle,541826,00:09:01,1
30/12/2021 14:00:35,WPooa9cRhe,20211230-14:00:33,Unknown (unable to detect activity),63778122,17:42:58,18
30/12/2021 14:00:35,WPooa9cRhe,20211230-14:00:33,Other (unclassified fitness activity),8040000,02:14:00,7
30/12/2021 14:00:36,WPooa9cRhe,20211230-14:00:33,In vehicle,8513491,02:21:53,7
30/12/2021 14:00:36,WPooa9cRhe,20211230-14:00:33,Walking,6067386,01:41:07,18
30/12/2021 14:00:40,WjTSJGdBQj,20211230-14:00:38,Unknown (unable to detect activity),81779000,22:42:59,9
30/12/2021 14:00:41,WjTSJGdBQj,20211230-14:00:38,Walking,2820000,00:47:00,6
30/12/2021 14:00:41,WjTSJGdBQj,20211230-14:00:38,Other (unclassified fitness activity),1800000,00:30:00,2
30/12/2021 14:02:05,IzZzhqcNgb,20211230-14:02:02,Unknown (unable to detect activity),86399000,23:59:59,1
30/12/2021 21:29:49,ydun27JYqN,20211230-21:29:51,Unknown (unable to detect activity),77519000,21:31:59,12
30/12/2021 21:29:50,ydun27JYqN,20211230-21:29:51,Walking,3600000,01:00:00,7
30/12/2021 21:29:50,ydun27JYqN,20211230-21:29:51,Other (unclassified fitness activity),5280000,01:28:00,4
30/12/2021 21:31:54,ydun27JYqN,20211230-21:31:57,Unknown (unable to detect activity),77519000,21:31:59,12
30/12/2021 21:31:55,ydun27JYqN,20211230-21:31:57,Walking,3600000,01:00:00,7
30/12/2021 21:31:55,ydun27JYqN,20211230-21:31:57,Other (unclassified fitness activity),5280000,01:28:00,4
31/12/2021 14:00:05,IzZzhqcNgb,20211231-14:00:01,Unknown (unable to detect activity),86399000,23:59:59,1
31/12/2021 14:00:07,XoyogQMtou,20211231-14:00:04,Unknown (unable to detect activity),84661118,23:31:01,8
31/12/2021 14:00:08,XoyogQMtou,20211231-14:00:04,In vehicle,950930,00:15:50,1
31/12/2021 14:00:08,XoyogQMtou,20211231-14:00:04,Walking,786952,00:13:06,8
31/12/2021 14:03:32,vCTkloMaa0,20211231-14:03:36,Unknown (unable to detect activity),86399000,23:59:59,1
