user_id,timestamp,heart_rate,activity,heart_rate_variability,steps,calories,stress_level,anomaly
user_001,2023-01-01 00:00:00,49,4,76.5,92,36,0,0
user_001,2023-01-01 00:30:00,53,4,70.3,65,50,0,0
user_001,2023-01-01 01:00:00,52,4,63.7,75,41,0,0
user_001,2023-01-01 01:30:00,52,4,69.5,79,53,2,0
user_001,2023-01-01 02:00:00,50,4,78.3,89,19,0,0
user_001,2023-01-01 02:30:00,53,4,77.1,0,16,2,0
user_001,2023-01-01 03:00:00,50,4,63.4,123,28,1,0
user_001,2023-01-01 03:30:00,55,4,72.8,0,10,1,0
user_001,2023-01-01 04:00:00,53,4,66.1,356,30,3,0
user_001,2023-01-01 04:30:00,51,4,58.1,0,18,4,0
user_001,2023-01-01 05:00:00,50,4,67.8,0,27,3,0
user_001,2023-01-01 05:30:00,50,4,70.1,0,43,4,0
user_001,2023-01-01 06:00:00,50,4,58.6,0,10,0,0
user_001,2023-01-01 06:30:00,53,4,74.6,0,10,4,0
user_001,2023-01-01 07:00:00,117,2,55.6,1083,104,1,0
user_001,2023-01-01 07:30:00,99,1,59.8,845,64,7,0
user_001,2023-01-01 08:00:00,123,2,53.0,872,53,3,0
user_001,2023-01-01 08:30:00,93,1,52.6,544,73,2,0
user_001,2023-01-01 09:00:00,87,1,65.5,376,43,8,0
user_001,2023-01-01 09:30:00,66,0,60.9,0,61,6,0
user_001,2023-01-01 10:00:00,85,1,41.6,484,26,6,0
user_001,2023-01-01 10:30:00,70,0,72.8,0,74,5,0
user_001,2023-01-01 11:00:00,62,0,66.0,91,25,6,0
user_001,2023-01-01 11:30:00,63,0,56.4,0,52,7,0
user_001,2023-01-01 12:00:00,67,1,75.0,192,34,7,0
user_001,2023-01-01 12:30:00,63,0,61.4,0,57,6,0
user_001,2023-01-01 13:00:00,65,0,70.4,61,40,6,0
user_001,2023-01-01 13:30:00,69,0,55.5,0,74,7,0
user_001,2023-01-01 14:00:00,65,0,76.9,0,79,7,0
user_001,2023-01-01 14:30:00,66,0,67.7,0,24,3,0
user_001,2023-01-01 15:00:00,68,0,64.3,0,25,5,0
user_001,2023-01-01 15:30:00,64,0,70.1,113,15,7,0
user_001,2023-01-01 16:00:00,66,0,68.0,155,67,5,0
user_001,2023-01-01 16:30:00,65,0,73.4,81,52,8,0
user_001,2023-01-01 17:00:00,79,1,61.7,229,20,6,0
user_001,2023-01-01 17:30:00,63,0,82.5,0,42,7,0
user_001,2023-01-01 18:00:00,74,0,59.2,284,90,3,0
user_001,2023-01-01 18:30:00,133,3,49.0,0,66,2,0
user_001,2023-01-01 19:00:00,78,0,70.1,207,72,1,0
user_001,2023-01-01 19:30:00,97,1,57.7,684,117,1,0
user_001,2023-01-01 20:00:00,59,0,60.4,207,56,4,0
user_001,2023-01-01 20:30:00,68,0,63.8,212,18,2,0
user_001,2023-01-01 21:00:00,61,0,70.8,83,23,1,0
user_001,2023-01-01 21:30:00,65,0,65.4,0,24,1,0
user_001,2023-01-01 22:00:00,61,0,55.3,21,58,0,0
user_001,2023-01-01 22:30:00,68,0,63.8,0,41,0,0
user_001,2023-01-01 23:00:00,66,0,64.7,0,44,1,0
user_001,2023-01-01 23:30:00,66,0,61.1,355,14,0,0
user_001,2023-01-02 00:00:00,48,4,66.0,33,59,4,0
user_001,2023-01-02 00:30:00,51,4,71.7,0,35,1,0
user_001,2023-01-02 01:00:00,51,4,68.7,131,27,1,0
user_001,2023-01-02 01:30:00,56,4,62.4,50,10,2,0
user_001,2023-01-02 02:00:00,52,4,58.5,76,40,0,0
user_001,2023-01-02 02:30:00,54,4,83.4,212,26,4,0
user_001,2023-01-02 03:00:00,48,4,67.4,0,16,1,0
user_001,2023-01-02 03:30:00,49,4,57.1,0,31,3,0
user_001,2023-01-02 04:00:00,50,4,61.8,17,52,1,0
user_001,2023-01-02 04:30:00,52,4,67.2,221,30,0,0
user_001,2023-01-02 05:00:00,56,4,73.8,309,17,0,0
user_001,2023-01-02 05:30:00,54,4,77.5,228,10,1,0
user_001,2023-01-02 06:00:00,52,4,71.8,0,37,0,0
user_001,2023-01-02 06:30:00,51,4,78.7,0,64,0,0
user_001,2023-01-02 07:00:00,97,1,68.0,846,67,3,0
user_001,2023-01-02 07:30:00,141,3,42.6,0,76,5,0
user_001,2023-01-02 08:00:00,101,1,43.4,866,78,5,0
user_001,2023-01-02 08:30:00,120,2,50.1,907,50,5,0
user_001,2023-01-02 09:00:00,64,0,60.6,57,58,6,0
user_001,2023-01-02 09:30:00,68,0,71.2,436,49,5,0
user_001,2023-01-02 10:00:00,68,0,59.0,137,67,7,0
user_001,2023-01-02 10:30:00,56,0,80.4,132,47,10,0
user_001,2023-01-02 11:00:00,80,1,55.7,485,71,6,0
user_001,2023-01-02 11:30:00,65,0,57.7,94,52,6,0
user_001,2023-01-02 12:00:00,66,1,71.9,632,51,3,0
user_001,2023-01-02 12:30:00,60,0,75.7,0,84,2,0
user_001,2023-01-02 13:00:00,58,0,76.3,0,70,4,0
user_001,2023-01-02 13:30:00,72,1,54.3,215,52,4,0
user_001,2023-01-02 14:00:00,71,0,70.5,0,50,9,0
user_001,2023-01-02 14:30:00,64,0,56.3,407,10,8,0
user_001,2023-01-02 15:00:00,70,0,64.8,89,54,5,0
user_001,2023-01-02 15:30:00,61,0,57.3,122,12,4,0
user_001,2023-01-02 16:00:00,64,0,69.2,96,50,5,0
user_001,2023-01-02 16:30:00,67,0,61.5,224,82,6,0
user_001,2023-01-02 17:00:00,67,0,58.2,0,32,6,0
user_001,2023-01-02 17:30:00,68,0,86.4,0,55,6,0
user_001,2023-01-02 18:00:00,95,1,57.8,892,33,0,0
user_001,2023-01-02 18:30:00,103,1,57.0,887,49,2,0
user_001,2023-01-02 19:00:00,80,0,74.5,276,72,0,0
user_001,2023-01-02 19:30:00,93,1,57.7,466,76,0,0
user_001,2023-01-02 20:00:00,63,0,73.0,287,27,2,0
user_001,2023-01-02 20:30:00,68,0,59.6,33,38,1,0
user_001,2023-01-02 21:00:00,69,0,70.9,223,10,0,0
user_001,2023-01-02 21:30:00,68,0,80.3,23,73,1,0
user_001,2023-01-02 22:00:00,60,0,43.0,0,15,2,0
user_001,2023-01-02 22:30:00,67,0,61.7,120,26,0,0
user_001,2023-01-02 23:00:00,70,0,69.5,293,43,3,0
user_001,2023-01-02 23:30:00,63,0,65.3,67,53,4,0
user_001,2023-01-03 00:00:00,56,4,81.3,0,21,0,0
user_001,2023-01-03 00:30:00,53,4,56.7,0,15,2,0
user_001,2023-01-03 01:00:00,52,4,81.9,127,28,4,0
user_001,2023-01-03 01:30:00,52,4,74.1,142,48,4,0
user_001,2023-01-03 02:00:00,51,4,62.2,282,49,3,0
user_001,2023-01-03 02:30:00,51,4,78.1,0,41,6,0
user_001,2023-01-03 03:00:00,55,4,78.2,0,10,2,0
user_001,2023-01-03 03:30:00,54,4,67.3,0,14,1,0
user_001,2023-01-03 04:00:00,52,4,66.3,481,22,2,0
user_001,2023-01-03 04:30:00,52,4,66.1,0,30,1,0
user_001,2023-01-03 05:00:00,56,4,70.9,0,74,0,0
user_001,2023-01-03 05:30:00,47,4,65.1,253,33,2,0
user_001,2023-01-03 06:00:00,51,4,82.0,228,12,1,0
user_001,2023-01-03 06:30:00,54,4,67.5,0,31,2,0
user_001,2023-01-03 07:00:00,125,2,50.7,626,51,2,0
user_001,2023-01-03 07:30:00,92,1,58.2,1023,92,4,0
user_001,2023-01-03 08:00:00,103,1,63.7,708,79,4,0
user_001,2023-01-03 08:30:00,107,1,53.4,489,68,3,0
user_001,2023-01-03 09:00:00,64,0,66.4,152,46,5,0
user_001,2023-01-03 09:30:00,64,0,63.5,290,57,6,0
user_001,2023-01-03 10:00:00,59,0,68.5,77,69,5,0
user_001,2023-01-03 10:30:00,81,1,63.1,489,68,4,0
